"LevelId
IntegerValue","Element
Type"
593176,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593176,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593142,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593179,"2.5"" x 5"" rectangular (Orange)"
593147,"2.5"" x 5"" rectangular (Orange)"
